lum,GUI_input,CC,area_ha,percent_of_watershed,percent_of_cropland
         frsd_lum,forested,0,1882.91,28.97,
         past_lum,pasture,0,756.19,11.63,
         urml_lum,urban,0,590.24,9.08,
CS_FT,Corn Soy Full Till,0,84.44,1.3,2.58
CS_FT_tile,Corn Soy Full Till,0,245.25,3.77,7.5
CS_NT_GW_HS,Corn Soy No Till,0,1.79,0.03,0.05
CS_NT_GW_LS,Corn Soy No Till,0,63.06,0.97,1.93
CS_NT_GW_MS,Corn Soy No Till,0,77.03,1.19,2.36
CS_NT_tile_GW_HS,Corn Soy No Till,0,1.32,0.02,0.04
CS_NT_tile_GW_LS,Corn Soy No Till,0,379.18,5.83,11.6
CS_NT_tile_GW_MS,Corn Soy No Till,0,132.26,2.03,4.04
CS_NTcc_B,Corn Soy No Till + rye cover crop,1,27.12,0.42,0.83
CS_NTcc_tile_B,Corn Soy No Till + rye cover crop,1,123.75,1.9,3.78
CS_RotT,Corn Soy Rotation Tillage,0,74.43,1.15,2.28
CS_RotT_tile,Corn Soy Rotation Tillage,0,171.31,2.64,5.24
CS_RT_B,Corn Soy Reduced Tillage,0,21.89,0.34,0.67
CS_RT_tile_B,Corn Soy Reduced Tillage,0,44.13,0.68,1.35
CSWcc_GW_HS,Corn Soy Wheat + rye cover crop,1,0.05,0,0
CSWcc_GW_LS,Corn Soy Wheat + rye cover crop,1,6.11,0.09,0.19
CSWcc_GW_MS,Corn Soy Wheat + rye cover crop,1,9.25,0.14,0.28
CSWcc_tile_GW_HS,Corn Soy Wheat + rye cover crop,1,0.14,0,0
CSWcc_tile_GW_LS,Corn Soy Wheat + rye cover crop,1,11.55,0.18,0.35
CSWcc_tile_GW_MS,Corn Soy Wheat + rye cover crop,1,10.11,0.16,0.31
CSWS,Corn Soy Wheat Soy,0,87.49,1.35,2.68
CSWS_tile,Corn Soy Wheat Soy,0,210.43,3.24,6.43
SC_FT,Corn Soy Full Till,0,103.95,1.6,3.18
SC_FT_tile,Corn Soy Full Till,0,240.62,3.7,7.36
SC_NT_B,Corn Soy No Till,0,137.83,2.12,4.21
SC_NT_tile_B,Corn Soy No Till,0,516.24,7.94,15.79
SC_NTcc,Corn Soy No Till + rye cover crop,1,40.64,0.63,1.24
SC_NTcc_tile,Corn Soy No Till + rye cover crop,1,137.13,2.11,4.19
SC_RotT_B,Corn Soy Rotation Tillage,0,76.14,1.17,2.33
SC_RotT_tile_B,Corn Soy Rotation Tillage,0,170.1,2.62,5.2
SC_RT,Corn Soy Reduced Tillage,0,10.25,0.16,0.31
SC_RT_tile,Corn Soy Reduced Tillage,0,55.17,0.85,1.69
