Scenario,jday,mon,day,yr,unit,gis,_id   name,area,precip,evap,seep,flo_stor,sed_stor,orgn_stor,sedp_stor,no3_stor,solp_stor,chla_stor,nh3_stor,no2_stor,cbod_stor,dox_stor,san_stor,sil_stor,cla_stor,sag_stor,lag_stor,grv_stor,null,flo_in,sed_in,orgn_in,sedp_in,no3_in,solp_in,chla_in,nh3_in,no2_in,cbod_in,dox_in,san_in,sil_in,cla_in,sag_in,lag_in,grv_in,null,flo_out,sed_out,orgn_out,sedp_out,no3_out,solp_out,chla_out,nh3_out,no2_out,cbod_out,dox_out,san_out,sil_out,cla_out,sag_out,lag_out,grv_out,null,water_temp
,,,,,,,,ha,ha-m,ha-m,ha-m,m^3/s,tons,kgN,kgP,kgN,kgP,kg,kgN,kgN,kg,kg,tons,tons,tons,tons,tons,tons,,m^3/s,tons,kgN,kgP,kgN,kgP,kg,kgN,kgN,kg,kg,tons,tons,tons,tons,tons,tons,,m^3/s,tons,kgN,kgP,kgN,kgP,kg,kgN,kgN,kg,kg,tons,tons,tons,tons,tons,tons,,degc
baseline,365,12,31,2011,39,46,cha046,0.5773,0.6113,0.3144,0,29.4,0.001648,0.001038,0.003626,0.08776,0.0008895,0,0.00000561,0.000005111,0,0.2062,0,0,0,0,0,0,8.9,0.4014,7940,5821,17690,9301,869,0.009724,13.4,4.088,0,57400,1.152,0.794,0.4597,4.367,3.237,0,0,0.4011,10910,5817,17680,9301,870.3,0.009607,13.9,4.41,0,59960,0,0,0,0,0,0,0,8.9
baseline,366,12,31,2012,39,46,cha046,0.6002,0.5962,0.3464,0,24.47,0.00008573,0.00001748,0.00001573,0.0388,0.0002459,5.432E-08,1.223E-07,2.528E-07,0,0.1756,0,0,0,0,0,0,3.65,0.257,4269,2428,7217,8021,572.6,0.005889,6.659,2.329,0,41440,0.388,0.2739,0.1369,1.301,0.9857,0,0,0.2567,4265,2425,7210,8021,573.3,0.005798,6.948,2.545,0,43650,0,0,0,0,0,0,0,3.65
baseline,365,12,31,2013,39,46,cha046,0.6204,0.6832,0.3254,0,36.31,0.000599,0.00006108,0.00007639,0.07383,0.0004085,1.968E-09,3.209E-07,3.961E-07,0,0.2595,0,0,0,0,0,0,4.472,0.498,8884,6117,13630,14020,915.3,0.005458,14.2,4.525,0,71260,1.279,0.8234,0.462,4.503,3.4,0,0,0.4976,8282,6111,13620,14020,916.6,0.005414,14.91,4.964,0,75080,0,0,0,0,0,0,0,4.472
baseline,365,12,31,2014,39,46,cha046,0.6353,0.6982,0.3306,0,28.69,0.00005165,0.000000574,8.277E-07,0.065,0.0002772,1.297E-07,0,0,0,0.2288,0,0,0,0,0,0,0.1375,0.4994,8647,4481,14770,8526,936.1,0.008931,10.59,3.077,0,72160,0.9318,0.683,0.3986,3.722,2.723,0,0,0.4989,5142,4477,14750,8526,937.4,0.008854,11.09,3.381,0,76150,0,0,0,0,0,0,0,0.1375
baseline,365,12,31,2015,39,46,cha046,0.6377,0.7135,0.345,0,51.84,0.002907,0.001185,0.001594,0.2093,0.002209,0,0.000005132,0.000003972,0,0.3958,0,0,0,0,0,0,4.887,0.437,6920,2950,10090,9398,889,0.01373,7.689,2.453,0,64030,0.2938,0.2971,0.1563,1.4,1.003,0,0,0.4366,3513,2948,10080,9398,889.8,0.01362,8.05,2.694,0,67570,0,0,0,0,0,0,0,4.887
baseline,366,12,31,2016,39,46,cha046,0.6393,0.5833,0.3579,0,21.82,1.951E-08,0.0005061,0.000551,0.1338,0.0004133,3.119E-08,0.000003475,0.000005639,0,0.1776,0,0,0,0,0,0,6.8,0.2928,3820,1619,5056,11950,719.9,0.006557,4.842,1.884,0,48120,0.1855,0.1611,0.0699,0.6388,0.4824,0,0,0.2924,1940,1617,5050,11950,720.2,0.006448,5.07,2.068,0,50870,0,0,0,0,0,0,0,6.8
baseline,365,12,31,2017,39,46,cha046,0.6409,0.7895,0.3509,0,31.95,0.00003927,0.000001141,9.552E-07,0.02344,0.0002893,1.447E-07,0,0,0,0.2423,0,0,0,0,0,0,5.387,0.4969,7143,6922,13320,23830,1150,0.004212,18.08,6.65,0,77100,0.795,0.569,0.2999,2.894,2.176,0,0,0.4964,3630,6914,13300,23830,1151,0.004165,19.01,7.311,0,81210,0,0,0,0,0,0,0,5.387
baseline,365,12,31,2018,39,46,cha046,0.6435,0.7516,0.3357,0,38.12,0.00006042,0.00007606,0.00006455,0.06058,0.000427,7.076E-09,5.392E-07,0.00000116,0,0.2423,0,0,0,0,0,0,10.92,0.5701,7756,8461,15550,25320,1225,0.003559,22.06,8.077,0,88680,1.127,0.794,0.4379,4.224,3.163,0,0,0.5695,3947,8452,15540,25320,1227,0.003521,23.19,8.851,0,93310,0,0,0,0,0,0,0,10.92
baseline,365,12,31,2019,39,46,cha046,0.6466,0.7056,0.3468,0,30.18,0.00002949,0.0009925,0.001267,0.1522,0.0007728,2.234E-08,0.000005357,0.000006296,0,0.2386,0,0,0,0,0,0,5.188,0.5853,7680,7169,14200,29610,1197,0.006316,18.59,6.742,0,87840,1.177,0.8324,0.4748,4.538,3.373,0,0,0.5847,3918,7161,14180,29610,1199,0.006255,19.51,7.365,0,92360,0,0,0,0,0,0,0,5.188
baseline,365,12,30,2020,39,46,cha046,0.5949,0.6728,0.3428,0,37.38,0.00006674,0.004393,0.01605,0.1507,0.001069,4.368E-08,0.00002369,0.00002491,0,0.2806,0,0,0,0,0,0,7.363,0.3612,3424,3792,6716,20180,826.3,0.003403,11.65,5.01,0,59900,0.4636,0.3582,0.1727,1.68,1.277,0,0,0.3607,1748,3787,6708,20180,826.9,0.003351,12.23,5.481,0,63100,0,0,0,0,0,0,0,7.363
